,Edge,U,pval,adj_pvals
411,HIF1A;HSP90AB1,86.0,0.12391428813727995,1.0
412,HIF1A;SRC,77.5,0.05810747855093556,1.0
413,HIF1A;AKT1,84.0,0.08174543857732396,1.0
414,HIF1A;NOTCH1,66.0,0.026345657224543417,1.0
415,HIF1A;CTNNB1,71.0,0.03564842787282211,1.0
416,HIF1A;MYC,64.5,0.017791553544764763,1.0
417,EPS15;CLTC,125.0,0.827394840939935,1.0
418,EPS15;DNM2,103.0,0.3413378273184995,1.0
419,GPHN;MTOR,135.0,0.9340096062141023,1.0
420,NSD2;BRD4,98.0,0.26497241801307836,1.0
421,RAC1;AKT1,132.0,1.0,1.0
422,RAC1;WAS,132.0,1.0,1.0
423,RAC1;SRC,124.0,0.8003736976326411,1.0
424,TBL1XR1;APC,170.5,0.2085438743465181,1.0
425,TBL1XR1;NCOR1,150.5,0.5476488091965975,1.0
426,TBL1XR1;CTNNB1,179.5,0.11959954444307781,1.0
427,ABL2;ABL1,149.0,0.581119659470684,1.0
428,RALGDS;NRAS,144.5,0.6913745341765145,1.0
429,RALGDS;RHOA,110.0,0.4758043367437558,1.0
430,RALGDS;HRAS,142.0,0.7530736904118176,1.0
431,DDB2;CDKN1B,115.5,0.5934091555650363,1.0
432,DDB2;XPC,127.5,0.8934655300967096,1.0
433,DDB2;ERCC2,124.0,0.8023290639721502,1.0
434,DDB2;ERCC3,121.5,0.7355599238113804,1.0
435,DDB2;XPA,120.0,0.701893399886961,1.0
436,LATS1;NF2,127.0,0.8815929685772759,1.0
437,LATS1;LATS2,144.0,0.6832791513711682,1.0
438,LATS1;WWTR1,128.5,0.920851287175085,1.0
439,PDGFRB;PLCG1,138.0,0.8529490848721437,1.0
440,PDGFRB;NRAS,100.5,0.30420343647562764,1.0
441,PDGFRB;PTEN,120.5,0.7167135080778761,1.0
442,PDGFRB;PTPN11,149.5,0.5748334944993174,1.0
443,PDGFRB;JAK1,200.5,0.024530247117940208,1.0
444,PDGFRB;ERBB2,102.0,0.32930973118427487,1.0
445,PDGFRB;PIK3R1,151.5,0.5307158846944,1.0
446,PDGFRB;HRAS,103.5,0.3534562062799478,1.0
447,PDGFRB;JAK2,137.0,0.8820617567351391,1.0
448,PDGFRB;PIK3CA,145.5,0.6673628267765674,1.0
449,PDGFRB;SRC,136.0,0.9081375385489359,1.0
450,PDGFRB;PIK3CB,144.0,0.7045034493891495,1.0
451,PDGFRB;STAT3,176.0,0.148271568461877,1.0
452,BCR;CBL,179.5,0.12038257430404416,1.0
453,BCR;STAT5B,154.0,0.4779205902089575,1.0
454,BCR;ABL1,149.0,0.5859684452556484,1.0
455,FLNA;MYH9,120.0,0.7012204653998773,1.0
456,FLNA;BRCA1,132.5,1.0,1.0
457,FLNA;CBFB,123.5,0.7861974996129253,1.0
458,FLNA;BRCA2,141.0,0.7724720891515585,1.0
459,FLNA;RHOA,122.5,0.7588684089261579,1.0
460,FLNA;MAP2K4,120.5,0.7113416668065631,1.0
461,MET;PLCG1,159.5,0.37019170220959785,1.0
462,MET;PIK3CA,132.0,1.0,1.0
463,MET;CBL,113.5,0.5513961750000338,1.0
464,MET;STAT3,132.0,1.0,1.0
465,MET;ERBB3,81.5,0.09826456215457441,1.0
466,MET;JAK1,168.5,0.23454908687426046,1.0
467,MET;PIK3R1,134.5,0.9473919721947516,1.0
468,MET;CTNNB1,116.5,0.6214874041593874,1.0
469,MET;NRAS,90.0,0.17056443717287895,1.0
470,MET;PTPN11,123.0,0.7793588638176021,1.0
471,MET;CTNND1,126.5,0.8687908677118468,1.0
472,MET;SRC,120.0,0.7047004508114239,1.0
