drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,1,242,0.984,1.0,0.5714285714285714,0.5845588235294117,19,15,3,5
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,2,242,1.0,1.0,0.6666666666666666,0.6138888888888888,21,9,5,7
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,3,242,0.992,1.0,0.6428571428571429,0.653958944281525,23,8,7,4
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,4,242,1.0,1.0,0.6666666666666666,0.7155425219941349,20,11,3,8
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,5,242,0.992,1.0,0.7142857142857143,0.6514423076923077,20,6,6,10
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,6,242,1.0,1.0,0.5952380952380952,0.6064814814814814,16,8,9,9
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,7,242,0.984,1.0,0.5238095238095238,0.48317307692307687,19,7,13,3
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,8,242,1.0,1.0,0.6428571428571429,0.6493827160493827,18,9,6,9
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,9,242,0.992,1.0,0.6666666666666666,0.5841836734693877,21,7,7,7
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,10,242,0.984,1.0,0.6904761904761905,0.66875,25,7,6,4
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,11,242,0.992,1.0,0.5952380952380952,0.5833333333333335,21,9,8,4
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,12,242,0.976,0.9970184853905784,0.7142857142857143,0.79375,23,9,3,7
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,13,242,1.0,1.0,0.5476190476190477,0.43695014662756604,19,12,7,4
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,14,242,0.984,0.999697519661222,0.6190476190476191,0.5542521994134897,20,11,5,6
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,15,242,1.0,1.0,0.6428571428571429,0.5596816976127321,22,7,8,5
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,16,242,1.0,1.0,0.6666666666666666,0.6000000000000001,24,6,8,4
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,17,242,1.0,1.0,0.7380952380952381,0.7166666666666667,26,4,7,5
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,18,242,0.992,1.0,0.6190476190476191,0.40441176470588236,25,9,7,1
Atezo,BLCA,KIRC,strict,norm-node-matched-random,0.1,19,242,1.0,1.0,0.6190476190476191,0.6684350132625995,20,9,7,6
Atezo,BLCA,KIRC,strict,norm-node,0.05,0,152,0.992,1.0,0.6904761904761905,0.615625,25,7,6,4
